vendor_id,vendor_name,tax_id,city,phone,last_updated,source_system
ERP00042,Hawthorne Industrial LLC,TX43-9979296,Los Angeles,(713) 772-3677,11-09-2025,ERP
ERP00043,Yellowhammer Industries Inc.,TX22-3557724,San Antonio,(752) 967-9735,17-01-2026,ERP
ERP00044,Juneau Marine Services INC,TX62-4320281,Chicago,,11-06-2026,ERP
ERP00045,Pasadena Capital Group Inc,TX65-9158373,San Antonio,,24-06-2025,ERP
ERP00046,XYLEM WATER TECHNOLOGIES LLC,TX26-7576586,Houston,(428) 278-2477,07-07-2025,ERP
ERP00047,Jackrabbit Transportation Inc,TX55-1105169,San Diego,(533) 455-3710,19-07-2026,ERP
ERP00048,Rotterdam Capital Group llc,TX66-1706197,Chicago,(707) 884-6344,06-06-2025,ERP
ERP00049,Wintergreen Energy LLC,TX86-9005727,San Diego,(315) 311-5572,17-12-2025,ERP
ERP00050,Liberty Freight Svcs,TX12-6846528,Houston,,11-07-2025,ERP
ERP00051,Xylosma Capital Ptrs Inc,TX46-5072136,Chicago,(571) 477-3857,12-02-2025,ERP
ERP00052,Round Rock Holdings Co.rp LLC,TX83-8259995,San Antonio,(327) 451-4049,24-03-2025,ERP
ERP00053,BAYSHORE INDUSTRIAL PARTNERS,TX18-4489788,Jacksonville,(868) 559-2378,06-12-2025,ERP
ERP00054,Stockholm Capital Ptrs LLC,TX75-7445778,San Antonio,(845) 687-6748,09-09-2025,ERP
ERP00055,Mockingbird Media LLC,TX87-7751905,Chicago,(931) 425-9431,27-04-2026,ERP
ERP00056,RIDGELINE CONSTRUCTION CORP,TX70-2762860,Jacksonville,,29-12-2024,ERP
ERP00057,Hollybrook Capital L.L.C.,TX47-8148854,Jacksonville,(924) 619-2430,11-04-2026,ERP
ERP00058,sierra nevada breweries,TX45-6497166,Dallas,(856) 553-7056,18-03-2025,ERP
ERP00059,BOISE HOLDINGS CORPORATION,TX47-4010455,Philadelphia,(330) 898-2661,27-05-2025,ERP
ERP00060,Lakewood Technology Solutions,TX48-4737238,San Diego,(253) 615-7471,10-12-2024,ERP
ERP00061,Eastern Seaboard Trading LLC,TX84-5437245,Los Angeles,,17-03-2026,ERP
ERP00062,Olympus Precision Tools Inc,TX26-2960494,Philadelphia,(727) 534-1237,12-04-2026,ERP
ERP00063,VERNON HOLDINGS INC LLC.,TX50-7484454,Philadelphia,(254) 594-5516,30-05-2026,ERP
ERP00064,Plainview Capital Partners L.L.C,TX73-1939970,Dallas,(600) 332-3919,12-07-2026,ERP
ERP00065,Acadian Timber Corp,TX88-7579679,Philadelphia,(323) 766-5660,24-10-2024,ERP
ERP00066,Inland Empire Transportation,TX74-5674515,Dallas,(729) 867-5831,17-11-2025,ERP
ERP00067,Hamburg Resources Corp LLC.,TX81-3518731,San Antonio,(578) 672-6093,08-11-2024,ERP
ERP00068,WISTERIA HOLDINGS LLC.,TX71-4266110,New York,(317) 667-9429,22-04-2025,ERP
ERP00069,FOXWOOD FINANCIAL SERVICES,TX96-7294757,Phoenix,(726) 890-7822,07-04-2025,ERP
ERP00070,Jasper Creek Holdings LLC,TX19-6119275,Phoenix,(617) 722-1445,24-05-2025,ERP
ERP00071,xalapa resources corporation,TX59-9152599,Jacksonville,(713) 272-7077,31-01-2026,ERP
ERP00072,elderberry capital group incorporated,TX71-9342369,Chicago,,15-02-2025,ERP
ERP00073,Norwood Industrial Partners,TX39-1087908,New York,,05-12-2025,ERP
ERP00074,quail run properties inc,TX52-1069219,Dallas,(754) 640-6973,07-07-2026,ERP
ERP00075,BROWNSVILLE CAPITAL GROUP INCORPORATED,TX92-3733400,Jacksonville,(817) 350-8500,16-06-2025,ERP
ERP00076,Turin Holdings CORPoration LLC,TX76-8584380,Los Angeles,,01-05-2026,ERP
ERP00077,osceola resources corp.oration,TX98-1976901,Jacksonville,(710) 647-8205,02-01-2026,ERP
ERP00078,quebec holdings inc llc.,TX34-9481581,Philadelphia,(495) 728-2539,25-10-2024,ERP
ERP00079,WACO CAPITAL GROUP LLC,TX63-6183443,Los Angeles,(524) 635-1332,31-07-2025,ERP
ERP00080,Tamarack Resources Co.rp,TX54-4380768,Phoenix,(651) 831-2901,06-02-2026,ERP
ERP00081,uruapan resources corp l.l.c.,TX38-9776005,San Antonio,(623) 887-4458,08-05-2026,ERP
ERP00082,DENTON RESOURCES INC.,TX25-8461917,Los Angeles,(800) 764-1649,30-03-2026,ERP
ERP00083,PINNACLE STEEL WORKS LLC,TX49-9110450,Jacksonville,(538) 277-3185,29-01-2026,ERP
ERP00084,Bluebell Healthcare LLC,TX88-7356407,Jacksonville,(723) 292-7611,31-01-2025,ERP
ERP00085,zion national resources llc,TX18-1352025,Phoenix,(851) 410-9106,16-02-2025,ERP
ERP00086,Yarrow Hldg Corporation,TX98-4841880,Dallas,(629) 371-2413,12-12-2024,ERP
ERP00087,Yucatan Resources Co.rp,TX74-3559008,Phoenix,(221) 700-5211,01-12-2024,ERP
ERP00088,Cascade Renewable Energy inc,TX38-3511296,Los Angeles,,23-11-2024,ERP
ERP00089,COPPERLEAF ENERGY SVC,TX48-9798113,Houston,(489) 428-6036,25-11-2025,ERP
ERP00090,BRIDGEWATER ASSET MANAGEMENT,,New York,,11-10-2025,ERP
ERP00091,EMPIRE STATE PROPERTIES LLC,,Dallas,,10-07-2025,ERP
ERP00092,el paso holdings corporation,TX37-4719882,Philadelphia,(682) 657-4807,28-01-2025,ERP
ERP00093,houston holdings inc,TX86-3780412,Houston,(528) 841-6955,12-11-2024,ERP
ERP00094,First Choice Staffing Sol,TX79-8790252,Jacksonville,(836) 303-8867,11-06-2026,ERP
ERP00095,maplewood dairy farms llc,TX42-9066568,New York,(509) 922-7678,04-06-2025,ERP
ERP00096,Havana Trading Company llc,TX39-4229034,Philadelphia,(943) 439-6129,30-01-2025,ERP
ERP00097,Harvest Agricultural SERVICES,TX99-9351826,Chicago,(376) 435-9757,19-06-2026,ERP
ERP00098,Xcaliber Precision Parts inc,TX37-4537574,Chicago,(239) 220-8532,31-07-2025,ERP
ERP00099,Yarrow Medical Supplies Inc.,TX60-9878813,Los Angeles,(680) 253-2488,14-11-2024,ERP
ERP00100,York Industrial Fasteners,TX63-5712345,San Antonio,,16-05-2025,ERP
ERP00101,Redbud Capital Partners Incorporated,TX65-3611643,Houston,,28-02-2026,ERP
ERP00102,WATERFORD CRYSTAL HOLDINGS LLC,TX19-7068833,Houston,(302) 349-7319,26-07-2025,ERP
ERP00103,Kerrville Capital Partners Inc.,TX33-9734774,San Antonio,(206) 490-2374,28-07-2025,ERP
ERP00104,Bermuda Triangle Trading LLC,TX33-2883293,Philadelphia,,10-09-2025,ERP
ERP00105,Plainview Dairy Cooperative,TX62-1331384,Chicago,,05-05-2025,ERP
ERP00106,Midwest Grain Cooperative,TX51-5921922,Houston,(201) 641-8990,26-11-2024,ERP
ERP00107,PELICAN BAY RESOURCES LLC,,Chicago,(592) 448-9412,19-08-2025,ERP
ERP00108,Nacogdoches Holdings Corp.,TX10-9194882,Houston,(597) 650-5982,04-09-2025,ERP
ERP00109,GOLDENROD AGRICULTURE INC,,San Diego,(769) 762-8610,09-01-2025,ERP
ERP00110,Ironwood Paper Mill inc,TX50-4243743,San Diego,(662) 576-6083,20-02-2026,ERP
ERP00111,Hillcrest Medical Supplies,TX77-7503347,Chicago,(570) 887-5703,23-09-2025,ERP
ERP00112,Jersey Holdings Companyrporation,TX48-2344138,San Diego,(405) 765-3245,23-12-2025,ERP
ERP00113,Kingston Marine Services LLC,TX53-4856681,Houston,(638) 290-2617,22-05-2025,ERP
ERP00114,Uvalde Energy Svc LLC,TX75-2289721,San Diego,(484) 629-8571,25-09-2024,ERP
ERP00115,CARDIFF RESOURCES CORPORATION,TX32-3273082,San Diego,(887) 435-2739,25-12-2025,ERP
ERP00116,union pacific suppliers llc,TX32-4681602,San Antonio,(965) 324-7392,12-07-2026,ERP
ERP00117,Quito Capital Group L.L.C.,TX60-6771406,Los Angeles,(388) 526-4678,04-12-2024,ERP
ERP00118,Summit Co.nstruction Group,TX42-5139035,Chicago,(725) 771-3279,02-04-2025,ERP
ERP00119,Xanadu Resort Holdings L.L.C,TX98-4491291,Jacksonville,(660) 860-8387,23-10-2024,ERP
ERP00120,Irongate Capital Ptr. LLC,,Dallas,(382) 888-3160,30-08-2025,ERP
ERP00121,Fresno Agricultural Services,TX40-7119884,New York,,19-04-2025,ERP
ERP00122,Olive Branch Holdings L.L.C,TX71-1865384,New York,(335) 981-1638,26-11-2025,ERP
ERP00123,Nassau Holdings CORPoration,TX66-1553664,Phoenix,,06-07-2025,ERP
ERP00124,Wicklow Industrial Holdings,TX88-5393583,Los Angeles,(366) 600-6028,24-01-2026,ERP
ERP00125,Greenleaf Organics LLC,TX40-5150914,Phoenix,,13-02-2026,ERP
ERP00126,Durango Mining Corp llc,TX58-5706186,Phoenix,(313) 366-7334,15-02-2026,ERP
ERP00127,Eugene Hldg Corp,TX24-7667244,Dallas,(525) 498-2386,11-02-2026,ERP
ERP00128,Drummond Coal Company LLC,TX13-5430307,Houston,(788) 215-7343,27-11-2024,ERP
ERP00129,Garland Resources Companyrp,TX61-2589002,Los Angeles,(235) 580-8271,14-11-2025,ERP
ERP00130,Paintbrush Energy Solutions,TX77-3192213,Jacksonville,(981) 838-3988,20-12-2025,ERP
ERP00131,irving resources corp llc,TX64-8416359,Los Angeles,(349) 788-8006,13-06-2025,ERP
ERP00132,PLATTE RIVER ENERGY INC,TX71-1858199,Jacksonville,(473) 634-1899,23-09-2025,ERP
ERP00133,Cardinal Health Systems LLC,TX78-6774956,Dallas,(201) 633-8758,16-07-2025,ERP
ERP00134,INKBERRY RESOURCES CORP.,TX20-3569279,Chicago,(289) 928-6502,28-04-2026,ERP
ERP00135,vienna capital group llc,TX41-2677780,New York,,23-02-2026,ERP
ERP00136,HARROGATE HOLDINGS CORP,TX30-7044351,Los Angeles,(589) 207-6335,10-12-2025,ERP
ERP00137,sequoia capital ventures,TX82-3077848,Los Angeles,,20-11-2024,ERP
ERP00138,Westfield Co.mmercial Properties,TX41-5887908,Dallas,(842) 851-7935,06-05-2026,ERP
ERP00139,REDROCK CAPITAL PTR.,TX94-9366110,Houston,,29-09-2024,ERP
ERP00140,killeen holdings corp llc.,TX48-8772981,Chicago,(997) 936-3013,08-02-2025,ERP
ERP00141,TIDEWATER MARINE SVC,TX63-4088594,Jacksonville,(409) 999-2233,13-03-2026,ERP
ERP00142,deepwater exploration llc,TX81-5068583,Phoenix,,24-01-2026,ERP
ERP00143,Uvalde County Resources Corp,TX26-3377891,Philadelphia,(311) 583-2167,21-04-2025,ERP
ERP00144,EL PASO ENERGY PARTNERS LLC,TX56-7593784,Houston,(886) 415-3274,01-03-2025,ERP
ERP00145,Quartermaster Supply Incorporated,TX81-9905595,Los Angeles,(560) 758-7078,03-12-2025,ERP
ERP00146,Lyon Capital Grp LLC,TX78-8169175,New York,,25-05-2025,ERP
ERP00147,eagle river technologies,TX32-3795388,San Diego,(283) 308-3244,21-09-2024,ERP
ERP00148,Pocatello Holdings COrp LLC,TX93-1423828,Philadelphia,(271) 579-2252,19-02-2026,ERP
ERP00149,zurich capital ptrs inc,TX35-8769871,Phoenix,,08-07-2026,ERP
ERP00150,Cheyenne Resources Corp LLC.,TX26-4420927,Jacksonville,(461) 954-1891,20-04-2025,ERP
ERP00151,Abilene Resources LLC,TX64-9163307,Houston,(238) 547-5282,25-02-2026,ERP
ERP00152,Yakima Capital Grp LLC,TX67-4670982,Chicago,(795) 751-5931,23-10-2024,ERP
ERP00153,Iceberg COld Chain Solutions,TX92-9433650,Dallas,(862) 862-5975,25-02-2025,ERP
ERP00154,OFFSHORE ENERGY PARTNERS LLC.,TX60-9617342,New York,(871) 712-8256,31-08-2025,ERP
ERP00155,Orange County Resources LLC.,TX53-9245615,Chicago,,11-03-2025,ERP
ERP00156,guadalupe resources corp,TX22-7325209,Jacksonville,,03-07-2026,ERP
ERP00157,Newcastle Holdings Corp,TX56-5982183,Houston,(447) 707-8586,27-06-2026,ERP
ERP00158,Wichita Falls Holdings Inc,TX76-2435611,San Diego,(348) 240-2726,25-11-2024,ERP
ERP00159,HACKBERRY RESOURCES CORP,TX51-9393351,Houston,(980) 851-9346,12-06-2025,ERP
ERP00160,Kinnickinnic River CORP,TX51-9650055,New York,(423) 934-2356,23-07-2025,ERP
ERP00161,kingfisher oil services inc,TX26-1129279,Jacksonville,(284) 685-8914,20-07-2025,ERP
ERP00162,Weatherford Capital PARTNERS,TX57-3489245,Philadelphia,(813) 523-7462,03-01-2026,ERP
ERP00163,Riverside Paper Products Co,TX56-4759959,Jacksonville,(908) 537-7481,09-01-2025,ERP
ERP00164,Alder Creek Timber LLC,TX98-3824568,Dallas,,13-04-2025,ERP
ERP00165,Vanguard Financial Services inc,TX13-5356866,Los Angeles,(529) 255-7445,16-02-2025,ERP
ERP00166,Sawtooth Lumber Products LLC,TX91-4273446,Philadelphia,(571) 501-3952,19-08-2025,ERP
ERP00167,Overland Transport Corporation,TX96-9695541,Dallas,,26-06-2025,ERP
ERP00168,Zagreb Holdings CORP,,San Diego,,02-05-2026,ERP
ERP00169,Xian Resources Corporation LLC.,TX83-2876961,Los Angeles,(420) 997-9398,05-11-2024,ERP
ERP00170,Vortex Energy Partners L.L.C.,TX85-6392871,Phoenix,,16-01-2026,ERP
ERP00171,IMPERIAL INDUSTRIES CORP,TX16-4625477,New York,(557) 242-9239,31-10-2025,ERP
ERP00172,timberline resources inc,TX76-5976633,San Antonio,(752) 329-2915,29-09-2025,ERP
ERP00173,YORKSHIRE TRADING COMPANY INCORPORATED,TX47-1187296,Dallas,(211) 647-1512,21-11-2025,ERP
ERP00174,Victoria Resources Corp.,TX69-4541516,Houston,,16-09-2025,ERP
ERP00175,Galloway Industrial Services,,Jacksonville,(429) 518-5639,03-07-2025,ERP
ERP00176,Lakeshore Data Services llc,TX37-5486257,Phoenix,(725) 956-3797,12-03-2025,ERP
ERP00177,Munich Holdings Companyrporation,TX44-8877639,Houston,,20-10-2024,ERP
ERP00178,Inverness Resources LLC,TX54-2959346,Houston,(758) 888-5837,23-06-2026,ERP
ERP00179,Jupiter Chemical COmpany,TX28-3047744,Houston,,20-07-2026,ERP
ERP00180,Zirconia Materials corp LLC,TX90-4822799,Philadelphia,,13-03-2026,ERP
ERP00181,ROTTERDAM TRADING COMPANY,TX80-1172087,Phoenix,(921) 648-3131,26-10-2024,ERP
ERP00182,Jackson Hole Holdings Inc,TX39-1993777,Dallas,(832) 724-4959,12-03-2025,ERP
ERP00183,FOXGLOVE PHARMACEUTICALS INC,TX76-5406155,Houston,,23-02-2025,ERP
ERP00184,MESQUITE ENERGY PARTNERS LLC,TX17-3385323,San Antonio,,06-01-2025,ERP
ERP00185,copenhagen holdings corp,TX89-6000413,San Diego,(366) 234-9042,27-07-2025,ERP
ERP00186,DUBLIN CAPITAL PARTNERS L.L.C,TX40-6960574,San Diego,(848) 409-1917,05-01-2026,ERP
ERP00187,Evergreen Timber Products llc,TX36-5338402,New York,(574) 981-6549,26-09-2024,ERP
ERP00188,Allegheny Energy Services,,San Antonio,(343) 321-5217,01-02-2026,ERP
ERP00189,ZENOVA LIFE SCIENCES L.L.C,TX11-4445486,Los Angeles,(316) 682-4957,15-05-2025,ERP
ERP00190,Maple Grove Industries INC,,Phoenix,,27-05-2026,ERP
ERP00191,Flagstaff Resources L.L.C.,TX20-2678747,Dallas,(431) 936-1485,29-03-2026,ERP
ERP00192,Oslo Capital Partners LLC,,San Diego,(394) 952-3115,26-11-2025,ERP
ERP00193,Valley Green Energy Inc.,TX32-5541946,Houston,(524) 974-5825,23-03-2026,ERP
ERP00194,FERN VALLEY FARMS LLC,TX78-1495579,Phoenix,,11-10-2025,ERP
ERP00195,Allied Defense Systems llc,TX21-4432706,New York,(762) 274-4428,31-10-2024,ERP
ERP00196,Upland Agriculture Svcs LLC,,Houston,(329) 498-9561,20-02-2025,ERP
ERP00197,UTICA CAPITAL PARTNERS INC,TX14-8374438,Philadelphia,,15-06-2025,ERP
ERP00198,Zacatecas Mining Corp L.L.C.,,San Diego,,13-12-2025,ERP
ERP00199,RAINIER BREWING COMPANY LLC,TX95-8392710,Dallas,(416) 799-9794,20-11-2024,ERP
ERP00200,Pampa Resources COrp,TX86-8670395,New York,(513) 453-2153,14-11-2024,ERP
ERP00201,Longview Fiber COmpany,TX21-3439128,Philadelphia,(640) 345-6627,21-04-2025,ERP
ERP00202,Granite State Insurance Grp,TX12-1535669,New York,,15-12-2025,ERP
ERP00203,CONROE HOLDINGS CORP L.L.C.,TX87-4193563,Dallas,(990) 228-9714,27-12-2025,ERP
ERP00204,YUMA HOLDINGS CORPORATIONORATION,TX51-6490109,San Diego,(811) 292-9468,12-03-2025,ERP
ERP00205,Javelin Defense Systems L.L.C,TX18-9724347,Philadelphia,(244) 450-2401,25-12-2024,ERP
ERP00206,Absolute Power Solutions INC,TX78-1610811,Phoenix,(203) 378-7714,31-03-2025,ERP
ERP00207,frisco holdings corporation,,Jacksonville,(857) 892-9429,05-04-2025,ERP
ERP00208,Laredo Resources inc,TX41-8625377,Houston,(461) 653-5874,13-07-2026,ERP
ERP00209,Indigo Technology Partners L.L.C,TX43-1118771,New York,(539) 209-6678,20-07-2026,ERP
ERP00210,Painted Hills Resources LLC,TX87-4494694,Phoenix,(948) 324-6649,19-01-2025,ERP
ERP00211,Delta Industrial Supply Co.,TX43-9582547,San Antonio,(226) 793-1388,13-06-2026,ERP
ERP00212,Nightshade Biotech LLC,,Houston,,23-06-2026,ERP
ERP00213,Zion Resources Corp. LLC,TX97-1009106,Dallas,(352) 989-3084,12-04-2025,ERP
ERP00214,QUINCE RESOURCES COMPANYRPORATION,TX69-1203883,Phoenix,(445) 702-7087,19-10-2025,ERP
ERP00215,Terracycle Environmental Inc.,,Phoenix,(221) 294-3372,20-03-2026,ERP
ERP00216,longhorn cattle company inc,TX25-4600680,San Diego,(850) 929-4248,02-09-2025,ERP
ERP00217,Elkhorn Industries Inc,TX89-1726081,Jacksonville,(627) 682-4222,05-08-2025,ERP
ERP00218,Yoakum Capital Partners Incorporated,TX91-6222857,Chicago,,13-11-2024,ERP
ERP00219,valleybrook consulting inc,TX66-7384629,Chicago,(948) 981-5640,12-07-2026,ERP
ERP00220,Xcel Holdings Corporation llc,TX50-1684508,Philadelphia,(950) 767-5206,30-10-2024,ERP
ERP00221,Pacific Rim Trading Company,TX27-3510530,Jacksonville,(538) 961-5308,15-07-2026,ERP
ERP00222,underhill construction inc,TX63-1843666,Houston,(616) 223-6663,16-12-2025,ERP
ERP00223,JOURDANTON RESOURCES CO.RP LLC,TX61-8324244,Phoenix,(911) 884-1439,05-06-2026,ERP
ERP00224,Acapulco Holdings Incorporated,TX91-4933515,New York,(464) 917-6286,22-07-2025,ERP
ERP00225,YARROW CREEK HOLDINGS L.L.C.,TX92-2810106,Houston,(524) 853-8007,16-12-2025,ERP
ERP00226,Diamond Ridge Mining Corporation,TX30-6648397,Dallas,(443) 574-9328,13-04-2026,ERP
ERP00227,Panama Canal Services Inc,TX73-3392760,Los Angeles,(435) 392-6227,18-03-2025,ERP
ERP00228,Lima Capital Partners Incorporated,TX12-1853771,Chicago,(414) 738-3037,25-12-2025,ERP
ERP00229,MCALLEN CAPITAL PARTNERS LLC,TX19-9599121,Jacksonville,(958) 570-3609,13-02-2026,ERP
ERP00230,Seguin Resources Inc. LLC,,Philadelphia,(226) 611-2110,18-11-2025,ERP
ERP00231,Greystone Capital Management,TX26-4669432,Dallas,(761) 599-3513,13-12-2025,ERP
ERP00232,AALBORG INDUSTRIAL SERVICES LLC,TX91-4809734,Chicago,(266) 528-6831,08-02-2025,ERP
ERP00233,irving holdings inc,,Phoenix,(934) 354-9547,13-11-2025,ERP
ERP00234,YORKTOWN RESOURCES INC,TX50-1496166,Jacksonville,(737) 918-1480,03-02-2026,ERP
ERP00235,Kalispell Resources COrp,TX82-9307424,New York,,01-07-2025,ERP
ERP00236,Westwood Real Estate Partners,TX65-4321088,Chicago,(497) 563-6623,14-05-2025,ERP
ERP00237,figtree holdings l.l.c,TX89-4476747,Los Angeles,(364) 673-1856,09-01-2025,ERP
ERP00238,Zenith Electronics COrporation,TX57-9062725,San Diego,(373) 339-2240,27-05-2025,ERP
ERP00239,Kumquat Distribution Inc,TX72-4500053,Houston,(210) 453-7848,16-02-2026,ERP
ERP00240,QUINCY RESOURCES INC,TX95-3347752,Jacksonville,,12-08-2025,ERP
ERP00241,Newpark Resources Inc,TX55-3910914,Dallas,(792) 962-7502,01-12-2024,ERP
ERP00242,EDINBURGH HOLDINGS INC,TX29-1586213,Jacksonville,(750) 723-9142,19-06-2026,ERP
ERP00243,QUANTUM DATA ANALYTICS LLC,TX96-8179288,Chicago,,29-05-2025,ERP
ERP00244,MISSOULA HLDGS CORPORATION,TX67-5502332,Jacksonville,(636) 433-6399,22-12-2025,ERP
ERP00245,New Braunfels Capital Group L.L.C.,TX26-5012251,Los Angeles,,23-11-2025,ERP
ERP00246,Goldfinch Mining CORPoration,TX93-5893989,Jacksonville,(918) 436-2236,02-10-2024,ERP
ERP00247,Eastwood Construction Group,TX32-9748122,Phoenix,(903) 234-7252,25-06-2026,ERP
ERP00248,jacaranda hldgs llc,TX25-2208397,San Diego,(421) 541-5535,09-07-2026,ERP
ERP00249,Zephyrhills Holdings L.L.C,TX56-9523535,Dallas,(870) 762-4762,11-02-2025,ERP
ERP00250,Cottonwood Energy Ptr.,TX23-3048751,Los Angeles,,16-03-2025,ERP
ERP00251,Redwood Forest Products Incorporated,TX79-9707772,San Diego,(700) 755-8472,24-11-2024,ERP
ERP00252,wenatchee resources inc,TX36-4541347,Houston,(917) 553-2977,20-07-2026,ERP
ERP00253,Broadmoor Capital GROUP LLC,TX35-3522215,Philadelphia,,21-07-2026,ERP
ERP00254,Ultramar Diamond Shamrock LLC,TX72-4359034,New York,(515) 551-9116,21-02-2026,ERP
ERP00255,Global Packaging Solutions Inc,TX26-4695438,New York,(729) 874-8338,06-02-2026,ERP
ERP00256,Apex Logistics Corporation,TX20-6272680,Philadelphia,(708) 735-4882,15-03-2026,ERP
ERP00257,VERDANT ENERGY SOL INC,TX85-1619529,Chicago,(955) 204-5294,05-10-2025,ERP
ERP00258,united metals corporation,TX90-7115670,Houston,,01-09-2025,ERP
ERP00259,Nighthawk Oil and Gas Inc,TX61-3557701,Dallas,(842) 532-7262,26-05-2026,ERP
ERP00260,Zabar Food Distribution LLC,TX98-9493215,Jacksonville,(298) 776-6591,14-05-2025,ERP
ERP00261,BEAUMONT HOLDINGS CORP L.L.C,TX29-2215760,Chicago,(712) 358-8561,20-02-2026,ERP
ERP00262,kodiak offshore drilling,TX76-5089785,Phoenix,(452) 795-9812,12-07-2026,ERP
ERP00263,Xanthus Capital Partners Inc,TX36-9614175,San Antonio,,06-07-2026,ERP
ERP00264,MIDLAND RESOURCES INC,TX91-3421701,New York,,06-03-2025,ERP
ERP00265,VANCOUVER HOLDINGS CORP LLC.,TX71-7311739,San Diego,(622) 397-8385,16-02-2026,ERP
ERP00266,Frankfurt Capital Grp. LLC,TX39-1760428,New York,(733) 218-4326,10-01-2025,ERP
ERP00267,VENTURE CAPITAL GROUP INCORPORATED,TX64-1561072,Chicago,(246) 760-3137,10-01-2025,ERP
ERP00268,iquique maritime svcs inc,TX21-2810660,San Diego,(431) 370-4946,18-04-2025,ERP
ERP00269,glasgow capital group inc,TX12-4128427,Dallas,,05-01-2026,ERP
