pair_id,erp_id,proc_id,clean_name,match_type
84,ERP00084,PROC00084,Bluebell Healthcare LLC,genuine_match
85,ERP00085,PROC00085,Zion National Resources LLC,genuine_match
86,ERP00086,PROC00086,Yarrow Holdings Corporation,genuine_match
87,ERP00087,PROC00087,Yucatan Resources Corp,genuine_match
88,ERP00088,PROC00088,Cascade Renewable Energy Inc,genuine_match
89,ERP00089,PROC00089,Copperleaf Energy Services,genuine_match
90,ERP00090,PROC00090,Bridgewater Asset Management,genuine_match
91,ERP00091,PROC00091,Empire State Properties LLC,genuine_match
92,ERP00092,PROC00092,El Paso Holdings Corporation,genuine_match
93,ERP00093,PROC00093,Houston Holdings Inc,genuine_match
94,ERP00094,PROC00094,First Choice Staffing Solutions,genuine_match
95,ERP00095,PROC00095,Maplewood Dairy Farms LLC,genuine_match
96,ERP00096,PROC00096,Havana Trading Company LLC,genuine_match
97,ERP00097,PROC00097,Harvest Agricultural Services,genuine_match
98,ERP00098,PROC00098,Xcaliber Precision Parts Inc,genuine_match
99,ERP00099,PROC00099,Yarrow Medical Supplies Inc,genuine_match
100,ERP00100,PROC00100,York Industrial Fasteners,genuine_match
101,ERP00101,PROC00101,Redbud Capital Partners Inc,genuine_match
102,ERP00102,PROC00102,Waterford Crystal Holdings LLC,genuine_match
103,ERP00103,PROC00103,Kerrville Capital Partners Inc,genuine_match
104,ERP00104,PROC00104,Bermuda Triangle Trading LLC,genuine_match
105,ERP00105,PROC00105,Plainview Dairy Cooperative,genuine_match
106,ERP00106,PROC00106,Midwest Grain Cooperative,genuine_match
107,ERP00107,PROC00107,Pelican Bay Resources LLC,genuine_match
108,ERP00108,PROC00108,Nacogdoches Holdings Corp,genuine_match
109,ERP00109,PROC00109,Goldenrod Agriculture Inc,genuine_match
110,ERP00110,PROC00110,Ironwood Paper Mill Inc,genuine_match
111,ERP00111,PROC00111,Hillcrest Medical Supplies,genuine_match
112,ERP00112,PROC00112,Jersey Holdings Corporation,genuine_match
113,ERP00113,PROC00113,Kingston Marine Services LLC,genuine_match
114,ERP00114,PROC00114,Uvalde Energy Services LLC,genuine_match
115,ERP00115,PROC00115,Cardiff Resources Corporation,genuine_match
116,ERP00116,PROC00116,Union Pacific Suppliers LLC,genuine_match
117,ERP00117,PROC00117,Quito Capital Group LLC,genuine_match
118,ERP00118,PROC00118,Summit Construction Group,genuine_match
119,ERP00119,PROC00119,Xanadu Resort Holdings LLC,genuine_match
120,ERP00120,PROC00120,Irongate Capital Partners LLC,genuine_match
121,ERP00121,PROC00121,Fresno Agricultural Services,genuine_match
122,ERP00122,PROC00122,Olive Branch Holdings LLC,genuine_match
123,ERP00123,PROC00123,Nassau Holdings Corporation,genuine_match
124,ERP00124,PROC00124,Wicklow Industrial Holdings,genuine_match
125,ERP00125,PROC00125,Greenleaf Organics LLC,genuine_match
126,ERP00126,PROC00126,Durango Mining Corp LLC,genuine_match
127,ERP00127,PROC00127,Eugene Holdings Corp,genuine_match
128,ERP00128,PROC00128,Drummond Coal Company LLC,genuine_match
129,ERP00129,PROC00129,Garland Resources Corp,genuine_match
130,ERP00130,PROC00130,Paintbrush Energy Solutions,genuine_match
131,ERP00131,PROC00131,Irving Resources Corp LLC,genuine_match
132,ERP00132,PROC00132,Platte River Energy Inc,genuine_match
133,ERP00133,PROC00133,Cardinal Health Systems LLC,genuine_match
134,ERP00134,PROC00134,Inkberry Resources Corp,genuine_match
135,ERP00135,PROC00135,Vienna Capital Group LLC,genuine_match
136,ERP00136,PROC00136,Harrogate Holdings Corp,genuine_match
137,ERP00137,PROC00137,Sequoia Capital Ventures,genuine_match
138,ERP00138,PROC00138,Westfield Commercial Properties,genuine_match
139,ERP00139,PROC00139,Redrock Capital Partners,genuine_match
140,ERP00140,PROC00140,Killeen Holdings Corp LLC,genuine_match
141,ERP00141,PROC00141,Tidewater Marine Services,genuine_match
142,ERP00142,PROC00142,Deepwater Exploration LLC,genuine_match
143,ERP00143,PROC00143,Uvalde County Resources Corp,genuine_match
144,ERP00144,PROC00144,El Paso Energy Partners LLC,genuine_match
145,ERP00145,PROC00145,Quartermaster Supply Inc,genuine_match
146,ERP00146,PROC00146,Lyon Capital Group LLC,genuine_match
147,ERP00147,PROC00147,Eagle River Technologies,genuine_match
148,ERP00148,PROC00148,Pocatello Holdings Corp LLC,genuine_match
149,ERP00149,PROC00149,Zurich Capital Partners Inc,genuine_match
150,ERP00150,PROC00150,Cheyenne Resources Corp LLC,genuine_match
151,ERP00151,PROC00151,Abilene Resources LLC,genuine_match
152,ERP00152,PROC00152,Yakima Capital Group LLC,genuine_match
153,ERP00153,PROC00153,Iceberg Cold Chain Solutions,genuine_match
154,ERP00154,PROC00154,Offshore Energy Partners LLC,genuine_match
155,ERP00155,PROC00155,Orange County Resources LLC,genuine_match
156,ERP00156,PROC00156,Guadalupe Resources Corp,genuine_match
157,ERP00157,PROC00157,Newcastle Holdings Corp,genuine_match
158,ERP00158,PROC00158,Wichita Falls Holdings Inc,genuine_match
159,ERP00159,PROC00159,Hackberry Resources Corp,genuine_match
160,ERP00160,PROC00160,Kinnickinnic River Corp,genuine_match
161,ERP00161,PROC00161,Kingfisher Oil Services Inc,genuine_match
162,ERP00162,PROC00162,Weatherford Capital Partners,genuine_match
163,ERP00163,PROC00163,Riverside Paper Products Co,genuine_match
164,ERP00164,PROC00164,Alder Creek Timber LLC,genuine_match
165,ERP00165,PROC00165,Vanguard Financial Services Inc,genuine_match
166,ERP00166,PROC00166,Sawtooth Lumber Products LLC,genuine_match
167,ERP00167,PROC00167,Overland Transport Corp,genuine_match
168,ERP00168,PROC00168,Zagreb Holdings Corp,genuine_match
169,ERP00169,PROC00169,Xian Resources Corporation LLC,genuine_match
170,ERP00170,PROC00170,Vortex Energy Partners LLC,genuine_match
171,ERP00171,PROC00171,Imperial Industries Corp,genuine_match
172,ERP00172,PROC00172,Timberline Resources Inc,genuine_match
173,ERP00173,PROC00173,Yorkshire Trading Company Inc,genuine_match
174,ERP00174,PROC00174,Victoria Resources Corp,genuine_match
175,ERP00175,PROC00175,Galloway Industrial Services,genuine_match
176,ERP00176,PROC00176,Lakeshore Data Services LLC,genuine_match
177,ERP00177,PROC00177,Munich Holdings Corporation,genuine_match
178,ERP00178,PROC00178,Inverness Resources LLC,genuine_match
179,ERP00179,PROC00179,Jupiter Chemical Company,genuine_match
180,ERP00180,PROC00180,Zirconia Materials Corp LLC,genuine_match
181,ERP00181,PROC00181,Rotterdam Trading Company,genuine_match
182,ERP00182,PROC00182,Jackson Hole Holdings Inc,genuine_match
183,ERP00183,PROC00183,Foxglove Pharmaceuticals Inc,genuine_match
184,ERP00184,PROC00184,Mesquite Energy Partners LLC,genuine_match
185,ERP00185,PROC00185,Copenhagen Holdings Corp,genuine_match
186,ERP00186,PROC00186,Dublin Capital Partners LLC,genuine_match
187,ERP00187,PROC00187,Evergreen Timber Products LLC,genuine_match
188,ERP00188,PROC00188,Allegheny Energy Services,genuine_match
189,ERP00189,PROC00189,Zenova Life Sciences LLC,genuine_match
190,ERP00190,PROC00190,Maple Grove Industries Inc,genuine_match
191,ERP00191,PROC00191,Flagstaff Resources LLC,genuine_match
192,ERP00192,PROC00192,Oslo Capital Partners LLC,genuine_match
193,ERP00193,PROC00193,Valley Green Energy Inc,genuine_match
194,ERP00194,PROC00194,Fern Valley Farms LLC,genuine_match
195,ERP00195,PROC00195,Allied Defense Systems LLC,genuine_match
196,ERP00196,PROC00196,Upland Agriculture Services LLC,genuine_match
197,ERP00197,PROC00197,Utica Capital Partners Inc,genuine_match
198,ERP00198,PROC00198,Zacatecas Mining Corp LLC,genuine_match
199,ERP00199,PROC00199,Rainier Brewing Company LLC,genuine_match
200,ERP00200,PROC00200,Pampa Resources Corp,genuine_match
201,ERP00201,PROC00201,Longview Fiber Company,genuine_match
202,ERP00202,PROC00202,Granite State Insurance Group,genuine_match
203,ERP00203,PROC00203,Conroe Holdings Corp LLC,genuine_match
204,ERP00204,PROC00204,Yuma Holdings Corporation,genuine_match
205,ERP00205,PROC00205,Javelin Defense Systems LLC,genuine_match
206,ERP00206,PROC00206,Absolute Power Solutions Inc,genuine_match
207,ERP00207,PROC00207,Frisco Holdings Corporation,genuine_match
208,ERP00208,PROC00208,Laredo Resources Inc,genuine_match
209,ERP00209,PROC00209,Indigo Technology Partners LLC,genuine_match
210,ERP00210,PROC00210,Painted Hills Resources LLC,genuine_match
211,ERP00211,PROC00211,Delta Industrial Supply Co,genuine_match
212,ERP00212,PROC00212,Nightshade Biotech LLC,genuine_match
213,ERP00213,PROC00213,Zion Resources Corp LLC,genuine_match
214,ERP00214,PROC00214,Quince Resources Corporation,genuine_match
215,ERP00215,PROC00215,Terracycle Environmental Inc,genuine_match
216,ERP00216,PROC00216,Longhorn Cattle Company Inc,genuine_match
217,ERP00217,PROC00217,Elkhorn Industries Inc,genuine_match
218,ERP00218,PROC00218,Yoakum Capital Partners Inc,genuine_match
219,ERP00219,PROC00219,Valleybrook Consulting Inc,genuine_match
220,ERP00220,PROC00220,Xcel Holdings Corporation LLC,genuine_match
221,ERP00221,PROC00221,Pacific Rim Trading Company,genuine_match
222,ERP00222,PROC00222,Underhill Construction Inc,genuine_match
223,ERP00223,PROC00223,Jourdanton Resources Corp LLC,genuine_match
224,ERP00224,PROC00224,Acapulco Holdings Inc,genuine_match
225,ERP00225,PROC00225,Yarrow Creek Holdings LLC,genuine_match
226,ERP00226,PROC00226,Diamond Ridge Mining Corp,genuine_match
227,ERP00227,PROC00227,Panama Canal Services Inc,genuine_match
228,ERP00228,PROC00228,Lima Capital Partners Inc,genuine_match
229,ERP00229,PROC00229,McAllen Capital Partners LLC,genuine_match
230,ERP00230,PROC00230,Seguin Resources Inc LLC,genuine_match
231,ERP00231,PROC00231,Greystone Capital Management,genuine_match
232,ERP00232,PROC00232,Aalborg Industrial Services LLC,genuine_match
233,ERP00233,PROC00233,Irving Holdings Inc,genuine_match
234,ERP00234,PROC00234,Yorktown Resources Inc,genuine_match
235,ERP00235,PROC00235,Kalispell Resources Corp,genuine_match
236,ERP00236,PROC00236,Westwood Real Estate Partners,genuine_match
237,ERP00237,PROC00237,Figtree Holdings LLC,genuine_match
238,ERP00238,PROC00238,Zenith Electronics Corporation,genuine_match
239,ERP00239,PROC00239,Kumquat Distribution Inc,genuine_match
240,ERP00240,PROC00240,Quincy Resources Inc,genuine_match
241,ERP00241,PROC00241,Newpark Resources Inc,genuine_match
242,ERP00242,PROC00242,Edinburgh Holdings Inc,genuine_match
243,ERP00243,PROC00243,Quantum Data Analytics LLC,genuine_match
244,ERP00244,PROC00244,Missoula Holdings Corporation,genuine_match
245,ERP00245,PROC00245,New Braunfels Capital Group LLC,genuine_match
246,ERP00246,PROC00246,Goldfinch Mining Corporation,genuine_match
247,ERP00247,PROC00247,Eastwood Construction Group,genuine_match
248,ERP00248,PROC00248,Jacaranda Holdings LLC,genuine_match
249,ERP00249,PROC00249,Zephyrhills Holdings LLC,genuine_match
250,ERP00250,PROC00250,Cottonwood Energy Partners,genuine_match
251,ERP00251,PROC00251,Redwood Forest Products Inc,genuine_match
252,ERP00252,PROC00252,Wenatchee Resources Inc,genuine_match
253,ERP00253,PROC00253,Broadmoor Capital Group LLC,genuine_match
254,ERP00254,PROC00254,Ultramar Diamond Shamrock LLC,genuine_match
255,ERP00255,PROC00255,Global Packaging Solutions Inc,genuine_match
256,ERP00256,PROC00256,Apex Logistics Corporation,genuine_match
257,ERP00257,PROC00257,Verdant Energy Solutions Inc,genuine_match
258,ERP00258,PROC00258,United Metals Corporation,genuine_match
259,ERP00259,PROC00259,Nighthawk Oil and Gas Inc,genuine_match
260,ERP00260,PROC00260,Zabar Food Distribution LLC,genuine_match
261,ERP00261,PROC00261,Beaumont Holdings Corp LLC,genuine_match
262,ERP00262,PROC00262,Kodiak Offshore Drilling,genuine_match
263,ERP00263,PROC00263,Xanthus Capital Partners Inc,genuine_match
264,ERP00264,PROC00264,Midland Resources Inc,genuine_match
265,ERP00265,PROC00265,Vancouver Holdings Corp LLC,genuine_match
266,ERP00266,PROC00266,Frankfurt Capital Group LLC,genuine_match
267,ERP00267,PROC00267,Venture Capital Group Inc,genuine_match
268,ERP00268,PROC00268,Iquique Maritime Services Inc,genuine_match
269,ERP00269,PROC00269,Glasgow Capital Group Inc,genuine_match
270,ERP00270,PROC00270,Texarkana Capital Group LLC,genuine_match
271,ERP00271,PROC00271,Rosewood Capital LLC,genuine_match
272,ERP00272,PROC00272,Spokane Holdings Corporation,genuine_match
273,ERP00273,PROC00273,Dallas Capital Group LLC,genuine_match
274,ERP00274,PROC00274,Interstate Commerce Partners,genuine_match
275,ERP00275,PROC00275,Limestone Resources Corp,genuine_match
276,ERP00276,PROC00276,Servicemaster Holdings LLC,genuine_match
277,ERP00277,PROC00277,Verbena Capital Group Inc,genuine_match
278,ERP00278,PROC00278,Xeriscape Landscaping Inc,genuine_match
279,ERP00279,PROC00279,Dusseldorf Resources LLC,genuine_match
280,ERP00280,PROC00280,Jacksonville Capital Group,genuine_match
281,ERP00281,PROC00281,Recife Trading Company Inc,genuine_match
282,ERP00282,PROC00282,Zara Industrial Supplies LLC,genuine_match
283,ERP00283,PROC00283,Zoysia Resources LLC,genuine_match
284,ERP00284,PROC00284,Yellowstone Environmental Group,genuine_match
285,ERP00285,PROC00285,Crestline Holdings Corporation,genuine_match
286,ERP00286,PROC00286,Ogden Capital Partners Inc,genuine_match
287,ERP00287,PROC00287,Larimer County Resources LLC,genuine_match
288,ERP00288,PROC00288,Santos Holdings Corp LLC,genuine_match
289,ERP00289,PROC00289,Toulouse Holdings Corp,genuine_match
290,ERP00290,PROC00290,Yosemite Capital Partners,genuine_match
291,ERP00291,PROC00291,Watershed Environmental Corp,genuine_match
292,ERP00292,PROC00292,Zinnia Medical Supplies Inc,genuine_match
293,ERP00293,PROC00293,Anchorage Capital Group LLC,genuine_match
294,ERP00294,PROC00294,Wroclaw Resources LLC,genuine_match
295,ERP00295,PROC00295,Cancun Resort Holdings Inc,genuine_match
296,ERP00296,PROC00296,Osage Plains Agriculture LLC,genuine_match
297,ERP00297,PROC00297,Uranium Energy Corp LLC,genuine_match
298,ERP00298,PROC00298,BlueStar Manufacturing Inc,genuine_match
299,ERP00299,PROC00299,Oakwood Healthcare Partners,genuine_match
300,ERP00300,PROC00300,Salzburg Resources Corp,genuine_match
301,ERP_HN001,PROC_HN001,Apex Logistics Corporation vs Apex Logistic Systems LLC,hard_negative
302,ERP_HN002,PROC_HN002,Global Packaging Solutions Inc vs Global Package Services Inc,hard_negative
303,ERP_HN003,PROC_HN003,Summit Construction Group vs Summit Constructors LLC,hard_negative
304,ERP_HN004,PROC_HN004,Delta Industrial Supply Co vs Delta Industries Supply LLC,hard_negative
305,ERP_HN005,PROC_HN005,United Metals Corporation vs United Metal Works Corp,hard_negative
